,bowler,balls_faced,runs_scored,times_dismissed,strike_rate
0,A Ashish Reddy,18,46,0,255.55555555555554
1,A Chandila,11,26,0,236.36363636363637
2,A Flintoff,12,34,0,283.33333333333337
3,A Kumble,41,39,0,95.1219512195122
4,A Mishra,37,40,1,108.10810810810811
5,A Nehra,29,61,2,210.3448275862069
6,A Nortje,10,15,1,150.0
7,A Singh,7,11,0,157.14285714285714
8,A Symonds,12,15,0,125.0
9,A Uniyal,1,1,0,100.0
10,A Zampa,3,1,1,33.33333333333333
11,AB Agarkar,5,6,0,120.0
12,AB Dinda,18,50,0,277.77777777777777
13,AC Thomas,6,14,1,233.33333333333334
14,AD Mascarenhas,13,8,1,61.53846153846154
15,AD Mathews,3,7,0,233.33333333333334
16,AD Russell,39,87,1,223.0769230769231
17,AG Murtaza,18,18,1,100.0
18,AJ Tye,21,23,1,109.52380952380953
19,AN Ahmed,8,10,0,125.0
20,AR Patel,70,71,2,101.42857142857142
21,AS Rajpoot,15,34,0,226.66666666666666
22,AS Raut,5,10,0,200.0
23,Abhishek Sharma,3,2,0,66.66666666666666
24,Anand Rajan,7,17,0,242.85714285714283
25,Ankit Sharma,20,39,0,195.0
26,Ankit Soni,5,3,0,60.0
27,Anureet Singh,9,10,0,111.11111111111111
28,Arshdeep Singh,1,6,0,600.0
29,Avesh Khan,12,9,0,75.0
30,Azhar Mahmood,17,20,1,117.64705882352942
31,B Akhil,14,16,0,114.28571428571428
32,B Kumar,42,67,2,159.52380952380955
33,B Laughlin,7,13,0,185.71428571428572
34,B Lee,3,5,0,166.66666666666669
35,BA Stokes,10,4,0,40.0
36,BAW Mendis,4,6,0,150.0
37,BB Sran,17,19,1,111.76470588235294
38,Basil Thampi,7,16,0,228.57142857142856
39,Bipul Sharma,5,4,1,80.0
40,CH Morris,35,71,0,202.85714285714283
41,CJ Dala,1,1,0,100.0
42,CL White,2,1,1,50.0
43,CR Brathwaite,1,0,1,0.0
44,CR Woakes,4,6,0,150.0
45,CV Varun,14,17,0,121.42857142857142
46,DAJ Bracewell,9,16,0,177.77777777777777
47,DE Bollinger,4,9,0,225.0
48,DJ Bravo,47,72,1,153.19148936170214
49,DJ Hooda,1,4,0,400.0
50,DJ Hussey,13,23,1,176.9230769230769
51,DJG Sammy,11,34,0,309.09090909090907
52,DL Chahar,17,10,1,58.82352941176471
53,DP Nannes,7,14,1,200.0
54,DR Sams,5,9,0,180.0
55,DR Smith,16,30,1,187.5
56,DS Kulkarni,38,50,1,131.57894736842107
57,DT Christian,6,2,0,33.33333333333333
58,DW Steyn,22,55,1,250.0
59,GB Hogg,9,11,0,122.22222222222223
60,GC Viljoen,12,22,0,183.33333333333331
61,GJ Maxwell,10,15,0,150.0
62,HH Pandya,39,88,0,225.64102564102564
63,HV Patel,23,53,0,230.43478260869566
64,Harbhajan Singh,81,110,3,135.80246913580248
65,Harmeet Singh,19,26,0,136.8421052631579
66,Harpreet Brar,6,1,1,16.666666666666664
