,batsman,balls_faced,runs_scored,times_dismissed,strike_rate
0,A Ashish Reddy,13,24,1,184.6153846153846
1,A Badoni,5,5,0,100.0
2,A Flintoff,7,13,0,185.71428571428572
3,A Kumble,3,5,0,166.66666666666669
4,A Mishra,9,9,0,100.0
5,A Mithun,2,0,1,0.0
6,A Nehra,1,0,1,0.0
7,A Symonds,3,5,0,166.66666666666669
8,AB Agarkar,4,4,1,100.0
9,AB Dinda,2,2,0,100.0
10,AB McDonald,9,16,0,177.77777777777777
11,AB de Villiers,47,72,1,153.19148936170214
12,AC Gilchrist,24,34,1,141.66666666666669
13,AD Mathews,4,4,1,100.0
14,AD Nath,4,7,0,175.0
15,AD Russell,30,78,0,260.0
16,AF Milne,4,2,1,50.0
17,AJ Finch,2,2,0,100.0
18,AJ Tye,4,3,0,75.0
19,AK Markram,4,9,0,225.0
20,AL Menaria,9,15,0,166.66666666666669
21,AM Nayar,1,0,0,0.0
22,AM Rahane,29,58,1,200.0
23,AR Patel,32,28,4,87.5
24,AS Joseph,1,0,1,0.0
25,AS Rajpoot,1,1,0,100.0
26,AS Raut,4,8,0,200.0
27,AT Rayudu,43,44,2,102.32558139534885
28,Abdul Samad,5,6,0,120.0
29,Abhishek Sharma,18,19,1,105.55555555555556
30,Ankit Sharma,1,0,1,0.0
31,Anureet Singh,8,5,0,62.5
32,Azhar Mahmood,8,5,1,62.5
33,B Kumar,23,11,0,47.82608695652174
34,BA Stokes,14,21,1,150.0
35,BB McCullum,21,10,0,47.61904761904761
36,BCJ Cutting,5,7,0,140.0
37,BJ Hodge,26,46,0,176.9230769230769
38,BMAJ Mendis,3,2,0,66.66666666666666
39,Bipul Sharma,4,12,0,300.0
40,C de Grandhomme,2,6,0,300.0
41,CA Ingram,2,2,1,100.0
42,CH Gayle,57,60,2,105.26315789473684
43,CH Morris,20,40,0,200.0
44,CJ Anderson,5,0,0,0.0
45,CL White,13,25,0,192.30769230769232
46,CR Brathwaite,10,12,0,120.0
47,D Padikkal,12,9,0,75.0
48,D Wiese,19,27,2,142.10526315789474
49,DA Miller,33,44,2,133.33333333333331
50,DA Warner,54,53,1,98.14814814814815
51,DB Das,13,22,1,169.23076923076923
52,DB Ravi Teja,10,18,1,180.0
53,DH Yagnik,5,9,0,180.0
54,DJ Hooda,22,27,3,122.72727272727273
55,DJ Hussey,20,24,1,120.0
56,DJG Sammy,4,6,1,150.0
57,DPMD Jayawardene,21,18,0,85.71428571428571
58,DR Sams,1,0,1,0.0
59,DR Smith,5,12,1,240.0
60,DT Christian,7,8,0,114.28571428571428
61,DW Steyn,6,6,0,100.0
62,E Lewis,17,18,1,105.88235294117648
63,EJG Morgan,22,20,1,90.9090909090909
64,F du Plessis,6,9,0,150.0
65,G Gambhir,23,32,1,139.1304347826087
66,GC Smith,2,2,0,100.0
67,GH Vihari,4,6,1,150.0
68,GJ Maxwell,16,20,2,125.0
69,Gurkeerat Singh,8,3,2,37.5
70,H Das,3,1,0,33.33333333333333
71,HH Gibbs,11,13,0,118.18181818181819
72,HH Pandya,39,55,1,141.02564102564102
73,HR Shokeen,10,11,1,110.00000000000001
74,HV Patel,11,29,1,263.6363636363636
75,Harbhajan Singh,38,46,4,121.05263157894737
