,bowler,balls_faced,runs_scored,times_dismissed,strike_rate
0,A Ashish Reddy,26,32,2,123.07692307692308
1,A Chandila,15,15,0,100.0
2,A Flintoff,4,1,0,25.0
3,A Mishra,103,158,2,153.39805825242718
4,A Nehra,57,60,6,105.26315789473684
5,A Nortje,12,9,1,75.0
6,A Singh,6,12,0,200.0
7,A Symonds,11,24,1,218.18181818181816
8,A Zampa,13,30,0,230.76923076923075
9,AB Dinda,29,36,2,124.13793103448276
10,AB McDonald,6,17,0,283.33333333333337
11,AC Thomas,5,6,1,120.0
12,AD Mathews,13,9,1,69.23076923076923
13,AD Russell,54,78,1,144.44444444444443
14,AF Milne,9,15,1,166.66666666666669
15,AG Murtaza,1,1,0,100.0
16,AJ Tye,36,43,0,119.44444444444444
17,AK Markram,3,5,0,166.66666666666669
18,AL Menaria,8,9,0,112.5
19,AM Nayar,9,18,0,200.0
20,AN Ahmed,1,0,1,0.0
21,AR Patel,59,66,1,111.86440677966101
22,AS Joseph,9,12,0,133.33333333333331
23,AS Rajpoot,18,33,0,183.33333333333331
24,Abhishek Sharma,2,3,0,150.0
25,Anand Rajan,2,2,0,100.0
26,Ankit Sharma,27,23,0,85.18518518518519
27,Anureet Singh,16,26,1,162.5
28,Arshdeep Singh,14,24,0,171.42857142857142
29,Avesh Khan,11,5,2,45.45454545454545
30,Azhar Mahmood,11,6,1,54.54545454545454
31,B Kumar,63,75,3,119.04761904761905
32,B Laughlin,2,1,0,50.0
33,B Lee,16,17,0,106.25
34,BA Stokes,8,14,1,175.0
35,BAW Mendis,1,1,0,100.0
36,BB Sran,4,10,1,250.0
37,BCJ Cutting,10,11,0,110.00000000000001
38,BE Hendricks,4,3,0,75.0
39,BJ Hodge,3,7,1,233.33333333333334
40,Basil Thampi,26,29,1,111.53846153846155
41,Bipul Sharma,15,21,1,140.0
42,C Ganapathy,2,7,0,350.0
43,C Nanda,2,0,1,0.0
44,C Sakariya,17,17,0,100.0
45,CH Morris,72,109,1,151.38888888888889
46,CJ Anderson,12,16,0,133.33333333333331
47,CJ Dala,12,24,0,200.0
48,CJ Jordan,8,6,0,75.0
49,CL White,4,13,0,325.0
50,CR Brathwaite,10,12,0,120.0
51,CR Woakes,1,1,0,100.0
52,CRD Fernando,14,23,0,164.28571428571428
53,CV Varun,24,20,1,83.33333333333334
54,D Brevis,1,0,1,0.0
55,DAJ Bracewell,1,0,1,0.0
56,DE Bollinger,24,26,1,108.33333333333333
57,DJ Bravo,109,157,1,144.03669724770643
58,DJ Hussey,2,2,0,100.0
59,DJ Willey,4,2,0,50.0
60,DJG Sammy,3,7,0,233.33333333333334
61,DJM Short,3,8,0,266.66666666666663
62,DL Chahar,49,68,1,138.77551020408163
63,DL Vettori,9,9,0,100.0
64,DP Nannes,14,19,0,135.71428571428572
65,DP Vijaykumar,5,3,0,60.0
66,DR Smith,6,10,0,166.66666666666669
67,DS Kulkarni,82,101,4,123.17073170731707
68,DT Christian,25,22,1,88.0
69,DW Steyn,27,28,0,103.7037037037037
70,FH Edwards,10,19,0,190.0
71,GB Hogg,7,7,0,100.0
72,GH Vihari,3,2,0,66.66666666666666
73,GJ Maxwell,11,14,0,127.27272727272727
74,Gagandeep Singh,5,7,0,140.0
75,HF Gurney,13,24,1,184.6153846153846
76,HH Pandya,44,55,1,125.0
77,HV Patel,28,43,1,153.57142857142858
78,Harbhajan Singh,69,87,1,126.08695652173914
79,Harmeet Singh,16,18,0,112.5
80,Harpreet Brar,39,50,1,128.2051282051282
81,I Sharma,60,79,0,131.66666666666666
82,IC Pandey,10,7,0,70.0
83,IK Pathan,69,92,3,133.33333333333331
84,Imran Tahir,25,33,0,132.0
85,Iqbal Abdulla,13,11,0,84.61538461538461
86,J Botha,4,6,0,150.0
87,J Suchith,8,10,1,125.0
88,J Yadav,7,8,0,114.28571428571428
89,JA Morkel,53,73,2,137.73584905660377
90,JC Archer,9,2,0,22.22222222222222
91,JD Ryder,8,11,0,137.5
92,JD Unadkat,45,51,0,113.33333333333333
93,JDP Oram,3,5,0,166.66666666666669
94,JDS Neesham,6,10,0,166.66666666666669
95,JE Taylor,4,13,0,325.0
96,JH Kallis,35,29,3,82.85714285714286
97,JJ Bumrah,95,145,4,152.63157894736844
98,JO Holder,10,9,2,90.0
99,JP Behrendorff,6,5,1,83.33333333333334
100,JP Duminy,11,8,0,72.72727272727273
101,JP Faulkner,14,10,1,71.42857142857143
102,JR Hazlewood,11,11,0,100.0
103,JR Hopes,7,11,0,157.14285714285714
104,Joginder Sharma,4,7,1,175.0
105,K Gowtham,27,24,1,88.88888888888889
106,K Rabada,25,27,3,108.0
107,KA Pollard,33,44,3,133.33333333333331
108,KC Cariappa,16,43,1,268.75
109,KH Pandya,83,79,1,95.18072289156626
110,KJ Abbott,10,18,0,180.0
111,KK Ahmed,10,17,1,170.0
112,KL Nagarkoti,11,11,0,100.0
113,KV Sharma,46,89,0,193.47826086956522
114,KW Richardson,15,12,1,80.0
115,Kamran Khan,10,20,0,200.0
116,Kartik Tyagi,11,14,1,127.27272727272727
117,Kuldeep Yadav,35,37,1,105.71428571428572
118,L Ablish,7,12,0,171.42857142857142
119,L Balaji,25,23,3,92.0
120,L Ngidi,2,1,0,50.0
121,LA Carseldine,1,0,0,0.0
122,LH Ferguson,40,60,0,150.0
123,LJ Wright,6,4,0,66.66666666666666
124,LRPL Taylor,3,3,0,100.0
125,LS Livingstone,2,1,0,50.0
126,M Ashwin,34,38,0,111.76470588235294
127,M Jansen,8,11,1,137.5
128,M Kartik,6,5,1,83.33333333333334
129,M Manhas,4,6,0,150.0
130,M Markande,26,31,0,119.23076923076923
131,M Morkel,62,66,3,106.4516129032258
132,M Muralitharan,39,50,2,128.2051282051282
133,M Ntini,5,5,0,100.0
134,M Prasidh Krishna,36,56,3,155.55555555555557
135,M Theekshana,4,3,0,75.0
136,MC Henriques,25,37,1,148.0
137,MF Maharoof,2,1,1,50.0
138,MG Johnson,22,28,0,127.27272727272727
139,MJ Clarke,6,5,0,83.33333333333334
140,MJ McClenaghan,41,39,4,95.1219512195122
