,bowler,balls_faced,runs_scored,times_dismissed,strike_rate
0,A Badoni,3,4,0,133.33333333333331
1,A Kumble,9,4,1,44.44444444444444
2,A Mishra,86,136,2,158.13953488372093
3,A Nehra,24,46,2,191.66666666666669
4,A Nortje,15,16,1,106.66666666666667
5,A Singh,4,2,0,50.0
6,A Zampa,16,43,1,268.75
7,AA Chavan,9,16,1,177.77777777777777
8,AB Agarkar,11,13,0,118.18181818181819
9,AB Dinda,11,14,0,127.27272727272727
10,AB McDonald,5,24,0,480.0
11,AC Thomas,8,17,0,212.5
12,AD Mathews,7,5,0,71.42857142857143
13,AD Russell,31,23,1,74.19354838709677
14,AF Milne,3,7,0,233.33333333333334
15,AJ Tye,7,12,2,171.42857142857142
16,AL Menaria,5,11,0,220.00000000000003
17,AP Dole,9,17,1,188.88888888888889
18,AR Patel,31,42,1,135.48387096774192
19,AS Rajpoot,18,40,1,222.22222222222223
20,Abhishek Sharma,4,3,1,75.0
21,Anand Rajan,6,13,1,216.66666666666666
22,Ankit Sharma,6,10,0,166.66666666666669
23,Anureet Singh,5,4,0,80.0
24,Arshdeep Singh,10,32,0,320.0
25,Avesh Khan,3,5,0,166.66666666666669
26,Azhar Mahmood,13,11,0,84.61538461538461
27,B Kumar,31,49,3,158.06451612903226
28,B Laughlin,7,9,0,128.57142857142858
29,B Lee,6,6,0,100.0
30,B Stanlake,8,11,1,137.5
31,BA Bhatt,4,7,1,175.0
32,BA Stokes,13,15,1,115.38461538461537
33,BB Sran,5,9,0,180.0
34,BE Hendricks,3,1,0,33.33333333333333
35,BW Hilfenhaus,10,11,0,110.00000000000001
36,Basil Thampi,13,14,1,107.6923076923077
37,C de Grandhomme,2,2,0,100.0
38,CH Gayle,6,17,0,283.33333333333337
39,CH Morris,29,38,1,131.0344827586207
40,CJ Anderson,6,8,0,133.33333333333331
41,CJ Jordan,14,30,0,214.28571428571428
42,CL White,3,8,0,266.66666666666663
43,CR Woakes,6,5,2,83.33333333333334
44,CV Varun,3,7,0,233.33333333333334
45,D Wiese,5,6,1,120.0
46,DE Bollinger,8,22,0,275.0
47,DJ Bravo,91,135,3,148.35164835164835
48,DJ Hussey,3,3,0,100.0
49,DJG Sammy,5,8,0,160.0
50,DL Chahar,3,7,0,233.33333333333334
51,DL Vettori,4,1,1,25.0
52,DP Nannes,7,7,0,100.0
53,DR Smith,6,11,0,183.33333333333331
54,DS Kulkarni,21,20,1,95.23809523809523
55,DT Christian,6,4,2,66.66666666666666
56,DW Steyn,45,38,1,84.44444444444444
57,GB Hogg,8,13,0,162.5
58,GC Viljoen,10,7,0,70.0
59,GJ Maxwell,3,2,0,66.66666666666666
60,HF Gurney,2,2,0,100.0
61,HV Patel,24,27,2,112.5
62,I Sharma,18,19,1,105.55555555555556
63,I Udana,7,7,0,100.0
64,IC Pandey,6,12,0,200.0
65,IK Pathan,15,13,3,86.66666666666667
66,Imran Tahir,28,46,1,164.28571428571428
67,Iqbal Abdulla,9,7,0,77.77777777777779
68,J Botha,11,25,1,227.27272727272728
69,J Syed Mohammad,7,19,0,271.42857142857144
70,J Theron,7,8,1,114.28571428571428
71,JA Morkel,7,5,1,71.42857142857143
72,JC Archer,9,4,1,44.44444444444444
73,JD Unadkat,26,46,2,176.9230769230769
74,JDS Neesham,2,2,0,100.0
75,JE Taylor,8,10,1,125.0
76,JH Kallis,7,4,1,57.14285714285714
77,JO Holder,15,19,1,126.66666666666666
78,JP Duminy,3,7,0,233.33333333333334
79,JP Faulkner,28,44,2,157.14285714285714
80,JR Hazlewood,1,0,1,0.0
81,JR Hopes,2,1,0,50.0
82,Jaskaran Singh,2,1,1,50.0
83,Joginder Sharma,3,5,0,166.66666666666669
84,K Gowtham,6,20,0,333.33333333333337
85,K Rabada,22,13,1,59.09090909090909
86,KA Jamieson,3,5,0,166.66666666666669
87,KC Cariappa,8,15,0,187.5
88,KH Pandya,2,0,1,0.0
89,KK Ahmed,13,9,1,69.23076923076923
90,KK Cooper,10,17,1,170.0
91,KMA Paul,3,2,1,66.66666666666666
92,KP Appanna,3,13,0,433.3333333333333
93,KR Sen,3,1,1,33.33333333333333
94,KV Sharma,19,21,0,110.5263157894737
95,KW Richardson,4,12,0,300.0
96,Kuldeep Yadav,10,5,1,50.0
97,L Balaji,11,9,1,81.81818181818183
98,L Ngidi,14,33,1,235.71428571428572
99,LE Plunkett,2,3,0,150.0
100,LH Ferguson,14,9,0,64.28571428571429
101,LR Shukla,5,4,0,80.0
102,Lalit Yadav,2,1,0,50.0
103,M Ashwin,1,1,0,100.0
104,M Kartik,7,5,0,71.42857142857143
105,M Morkel,13,11,0,84.61538461538461
