,bowler,balls_faced,runs_scored,times_dismissed,strike_rate
0,A Ashish Reddy,8,25,0,312.5
1,A Choudhary,4,10,1,250.0
2,A Kumble,4,4,1,100.0
3,A Mishra,45,52,2,115.55555555555554
4,A Mithun,4,5,0,125.0
5,A Nehra,14,25,0,178.57142857142858
6,A Nortje,19,27,1,142.10526315789474
7,A Singh,7,2,1,28.57142857142857
8,A Symonds,7,5,0,71.42857142857143
9,AB Agarkar,15,26,1,173.33333333333334
10,AB Dinda,43,50,2,116.27906976744187
11,AC Thomas,16,33,0,206.25
12,AD Mathews,6,4,0,66.66666666666666
13,AD Russell,22,48,1,218.18181818181816
14,AF Milne,14,30,0,214.28571428571428
15,AJ Tye,1,0,0,0.0
16,AK Markram,4,9,0,225.0
17,AM Nayar,8,11,0,137.5
18,AN Ahmed,12,21,0,175.0
19,AR Patel,60,95,2,158.33333333333331
20,AS Joseph,1,0,1,0.0
21,AS Rajpoot,19,18,0,94.73684210526315
22,Ankit Sharma,5,15,0,300.0
23,Ankit Soni,8,17,0,212.5
24,Anureet Singh,24,42,0,175.0
25,Arshdeep Singh,36,48,0,133.33333333333331
26,Avesh Khan,1,0,0,0.0
27,Azhar Mahmood,11,19,0,172.72727272727272
28,B Kumar,18,17,0,94.44444444444444
29,B Lee,26,34,0,130.76923076923077
30,BA Bhatt,5,7,0,140.0
31,BA Stokes,19,22,2,115.78947368421053
32,BE Hendricks,10,14,1,140.0
33,BJ Hodge,4,5,0,125.0
34,BW Hilfenhaus,11,2,3,18.181818181818183
35,Basil Thampi,11,17,0,154.54545454545453
36,C de Grandhomme,2,2,0,100.0
37,CH Gayle,15,16,0,106.66666666666667
38,CH Morris,32,36,1,112.5
39,CJ Anderson,2,6,1,300.0
40,CJ Jordan,8,10,0,125.0
41,CK Langeveldt,14,29,0,207.14285714285717
42,CR Brathwaite,12,16,1,133.33333333333331
43,CR Woakes,8,14,1,175.0
44,CRD Fernando,5,9,1,180.0
45,CV Varun,21,30,1,142.85714285714286
46,D Wiese,6,11,0,183.33333333333331
47,DE Bollinger,6,8,0,133.33333333333331
48,DJ Bravo,54,53,1,98.14814814814815
49,DJ Hooda,15,18,0,120.0
50,DJ Hussey,27,21,0,77.77777777777779
51,DJ Muthuswami,8,20,0,250.0
52,DJG Sammy,6,3,0,50.0
53,DL Chahar,55,55,1,100.0
54,DR Sams,2,0,1,0.0
55,DR Smith,7,17,0,242.85714285714283
56,DS Kulkarni,73,71,2,97.26027397260275
57,DT Christian,26,33,0,126.92307692307692
58,DW Steyn,43,48,2,111.62790697674419
59,FA Allen,1,0,1,0.0
60,GJ Maxwell,33,39,1,118.18181818181819
61,Gurkeerat Singh,10,19,0,190.0
62,HF Gurney,10,12,0,120.0
63,HH Pandya,13,20,0,153.84615384615387
64,HR Shokeen,4,5,0,125.0
65,HV Patel,47,86,0,182.9787234042553
66,Harbhajan Singh,98,113,4,115.3061224489796
67,Harmeet Singh,17,16,0,94.11764705882352
68,Harshit Rana,3,2,0,66.66666666666666
69,I Sharma,57,66,1,115.78947368421053
70,IC Pandey,11,18,1,163.63636363636365
71,Imran Tahir,24,43,0,179.16666666666669
72,Iqbal Abdulla,4,8,0,200.0
73,J Botha,24,30,0,125.0
74,J Yadav,50,71,1,142.0
75,JA Morkel,30,47,1,156.66666666666666
76,JC Archer,19,15,2,78.94736842105263
77,JD Unadkat,34,27,1,79.41176470588235
78,JDP Oram,4,7,0,175.0
79,JH Kallis,23,32,1,139.1304347826087
80,JJ Bumrah,47,54,0,114.89361702127661
81,JL Pattinson,26,37,1,142.30769230769232
82,JO Holder,17,19,0,111.76470588235294
83,JP Behrendorff,6,8,0,133.33333333333331
84,JP Duminy,22,20,2,90.9090909090909
85,JP Faulkner,21,31,1,147.61904761904762
86,JR Hazlewood,8,13,0,162.5
87,JW Hastings,12,26,1,216.66666666666666
88,Joginder Sharma,1,0,0,0.0
89,K Gowtham,10,23,0,229.99999999999997
90,K Rabada,52,89,3,171.15384615384613
91,KA Jamieson,11,17,1,154.54545454545453
92,KA Pollard,42,55,0,130.95238095238096
93,KC Cariappa,24,51,0,212.5
94,KH Pandya,30,39,0,130.0
95,KJ Abbott,5,10,0,200.0
96,KK Cooper,9,13,0,144.44444444444443
97,KMA Paul,11,9,0,81.81818181818183
98,KP Appanna,3,13,0,433.3333333333333
99,KP Pietersen,3,1,0,33.33333333333333
100,KR Sen,7,10,0,142.85714285714286
101,KV Sharma,3,3,0,100.0
102,KW Richardson,21,56,0,266.66666666666663
103,Kartik Tyagi,20,33,0,165.0
104,Kuldeep Yadav,54,69,2,127.77777777777777
105,L Balaji,25,27,3,108.0
106,L Ngidi,13,16,1,123.07692307692308
107,LH Ferguson,14,17,1,121.42857142857142
108,LR Shukla,8,5,0,62.5
109,LS Livingstone,1,0,1,0.0
110,M Ashwin,22,19,0,86.36363636363636
111,M Kartik,17,22,0,129.41176470588235
112,M Morkel,27,40,2,148.14814814814815
113,M Muralitharan,20,21,0,105.0
114,M Prasidh Krishna,27,32,2,118.5185185185185
115,M Theekshana,2,4,1,200.0
116,M Vijay,11,11,0,100.0
117,MA Starc,25,25,1,100.0
118,MC Henriques,18,29,1,161.11111111111111
119,MG Johnson,22,51,1,231.81818181818184
120,MJ McClenaghan,33,52,2,157.57575757575756
121,MM Ali,14,20,0,142.85714285714286
122,MM Patel,10,10,0,100.0
123,MM Sharma,48,90,1,187.5
124,MP Stoinis,18,18,0,100.0
125,MR Marsh,2,4,1,200.0
126,MS Gony,12,15,0,125.0
127,Mohammed Shami,69,99,2,143.47826086956522
128,Mohammed Siraj,23,41,1,178.26086956521738
129,Mohsin Khan (2),4,3,1,75.0
130,Mujeeb Ur Rahman,36,61,0,169.44444444444443
131,Mukesh Choudhary,7,14,0,200.0
132,N Rana,5,11,0,220.00000000000003
133,NA Saini,6,2,0,33.33333333333333
134,NM Coulter-Nile,55,59,1,107.27272727272728
135,NT Ellis,5,6,0,120.0
136,O Thomas,7,7,1,100.0
137,OC McCoy,2,5,0,250.0
138,P Awana,12,28,0,233.33333333333334
139,P Kumar,92,124,3,134.7826086956522
140,P Negi,3,8,0,266.66666666666663
141,P Ray Barman,9,15,0,166.66666666666669
142,PC Valthaty,9,20,0,222.22222222222223
143,PJ Cummins,21,25,0,119.04761904761905
144,PJ Sangwan,13,18,0,138.46153846153845
145,PP Chawla,66,98,2,148.4848484848485
146,PP Ojha,32,54,0,168.75
147,PV Tambe,20,21,1,105.0
148,PWH de Silva,5,7,1,140.0
149,Parvez Rasool,16,25,0,156.25
150,R Ashwin,99,105,3,106.06060606060606
151,R Bhatia,19,23,1,121.05263157894737
152,R Dhawan,15,24,0,160.0
153,R Parag,4,4,0,100.0
154,R Rampaul,9,6,1,66.66666666666666
155,R Sharma,11,24,0,218.18181818181816
156,R Shukla,12,21,0,175.0
157,R Tewatia,8,10,0,125.0
158,R Vinay Kumar,4,5,1,125.0
159,RA Jadeja,45,69,0,153.33333333333334
160,RA Shaikh,3,6,0,200.0
161,RD Chahar,36,61,0,169.44444444444443
162,RG More,4,10,0,250.0
163,RG Sharma,1,1,0,100.0
164,RJ Harris,25,22,2,88.0
165,RN ten Doeschate,1,1,0,100.0
166,RP Singh,31,42,1,135.48387096774192
167,RR Powar,10,6,0,60.0
168,Rasikh Salam,3,5,0,166.66666666666669
169,Ravi Bishnoi,6,5,3,83.33333333333334
170,S Aravind,11,15,1,136.36363636363635
171,S Badree,11,16,0,145.45454545454547
172,S Dhawan,8,9,1,112.5
173,S Gopal,26,33,0,126.92307692307692
174,S Kaul,4,2,0,50.0
175,S Kaushik,14,22,0,157.14285714285714
176,S Lamichhane,7,3,0,42.857142857142854
177,S Nadeem,9,10,0,111.11111111111111
178,S Narwal,6,3,1,50.0
179,S Sreesanth,26,20,2,76.92307692307693
180,S Tyagi,7,7,0,100.0
181,SA Abbott,16,24,0,150.0
182,SB Jakati,5,6,1,120.0
183,SB Wagh,6,4,0,66.66666666666666
184,SJ Srivastava,15,22,1,146.66666666666666
185,SK Raina,36,49,1,136.11111111111111
186,SK Trivedi,26,36,0,138.46153846153845
187,SK Warne,7,6,0,85.71428571428571
188,SL Malinga,56,74,2,132.14285714285714
189,SM Curran,34,26,1,76.47058823529412
190,SN Thakur,29,41,0,141.3793103448276
191,SP Narine,115,176,2,153.04347826086956
192,SR Watson,20,34,2,170.0
193,SS Cottrell,11,11,0,100.0
194,SS Sarkar,2,5,0,250.0
195,STR Binny,14,9,1,64.28571428571429
196,SW Tait,12,28,0,233.33333333333334
197,Sandeep Sharma,62,78,2,125.80645161290323
198,Shahbaz Ahmed,8,14,0,175.0
199,Shakib Al Hasan,13,19,1,146.15384615384613
200,Shivam Mavi,4,7,0,175.0
201,Shivam Sharma,2,3,0,150.0
202,Simarjeet Singh,3,1,0,33.33333333333333
203,T Shamsi,11,15,1,136.36363636363635
204,TA Boult,38,44,0,115.78947368421053
205,TG Southee,28,45,0,160.71428571428572
206,TM Dilshan,5,9,0,180.0
207,TP Sudhindra,12,28,0,233.33333333333334
208,TS Mills,5,4,0,80.0
209,TU Deshpande,3,4,0,133.33333333333331
210,Tejas Baroka,15,26,0,173.33333333333334
211,UT Yadav,65,94,5,144.6153846153846
212,Umran Malik,13,23,0,176.9230769230769
213,VG Arora,4,10,0,250.0
214,VR Aaron,35,46,1,131.42857142857142
215,VR Iyer,2,2,0,100.0
216,WD Parnell,20,31,1,155.0
217,WPUJC Vaas,14,14,1,100.0
218,Washington Sundar,33,35,1,106.06060606060606
219,Y Prithvi Raj,7,10,1,142.85714285714286
220,YK Pathan,37,45,0,121.62162162162163
221,YS Chahal,88,145,1,164.77272727272728
222,Yuvraj Singh,3,3,0,100.0
223,Z Khan,38,44,2,115.78947368421053
